commit	suite	tasks	success_rate	strict_success_rate	json_valid_rate	selector_hit_rate	actions_per_success	p50_s	p95_s	timeout_rate	model_load_s	status	description
c22ad83	real-chrome-extension-smoke	4	1.0000	1.0000	1.0000	1.0000	0.00	0.015	0.153	0.0000	0.000	baseline	real-chrome-extension-smoke benchmark run
c22ad83	real-chrome-extension-agent	7	1.0000	1.0000	1.0000	1.0000	0.00	0.047	250.559	0.0000	0.000	keep	capture model status diagnostics on task failure
5608fe4	local-fake-extension	7	1.0000	1.0000	1.0000	1.0000	2.43	0.006	0.011	0.0000	0.000	baseline	local-fake-extension benchmark run
5608fe4	real-chrome-extension-smoke	4	1.0000	1.0000	1.0000	1.0000	0.00	0.007	0.148	0.0000	0.000	baseline	real-chrome-extension-smoke benchmark run
5608fe4	real-chrome-extension-agent	7	0.8571	0.8571	1.0000	1.0000	0.00	0.029	300.009	0.1429	0.000	discard	add model load phase diagnostics
5608fe4	local-fake-extension	7	1.0000	1.0000	1.0000	1.0000	2.43	0.006	0.010	0.0000	0.000	baseline	local-fake-extension benchmark run
5608fe4	real-chrome-extension-smoke	4	1.0000	1.0000	1.0000	1.0000	0.00	0.010	0.165	0.0000	0.000	baseline	real-chrome-extension-smoke benchmark run
5608fe4	real-chrome-extension-agent	7	0.4286	0.4286	0.0000	1.0000	0.00	0.033	180.018	0.1429	0.000	discard	persistent benchmark profile and model load diagnostics
5608fe4	real-chrome-extension-agent	7	0.7143	0.7143	0.5000	1.0000	0.00	0.036	3.366	0.0000	0.000	discard	persistent benchmark profile rerun after cache population
5608fe4	local-fake-extension	7	1.0000	1.0000	1.0000	1.0000	2.43	0.005	0.010	0.0000	0.000	baseline	local-fake-extension benchmark run
5608fe4	real-chrome-extension-agent	7	0.7143	0.7143	0.5000	1.0000	0.00	0.022	57.507	0.0000	0.000	discard	persistent profile default 180s model task cap
3d8d760	local-fake-extension	7	1.0000	1.0000	1.0000	1.0000	2.43	0.006	0.012	0.0000	0.000	baseline	local-fake-extension benchmark run
3d8d760	real-chrome-extension-smoke	4	1.0000	1.0000	1.0000	1.0000	0.00	0.008	0.162	0.0000	0.000	baseline	real-chrome-extension-smoke benchmark run
3d8d760	real-chrome-extension-agent	7	1.0000	1.0000	1.0000	1.0000	0.00	0.038	19.474	0.0000	0.000	keep	cft 149.0.7827.54 runtime comparison
7fe7af5	local-fake-extension	7	1.0000	1.0000	1.0000	1.0000	2.43	0.007	0.012	0.0000	0.000	baseline	local-fake-extension benchmark run
7fe7af5	real-chrome-extension-smoke	4	1.0000	1.0000	1.0000	1.0000	0.00	0.015	0.158	0.0000	0.000	baseline	real-chrome-extension-smoke benchmark run
7fe7af5	real-chrome-extension-agent	7	1.0000	1.0000	1.0000	1.0000	0.00	0.045	17.949	0.0000	6.662	keep	model readiness preflight timing
7fe7af5	real-chrome-extension-agent	7	1.0000	1.0000	1.0000	1.0000	0.00	0.057	20.008	0.0000	1.106	keep	model readiness preflight timing rerun
146c5a0	local-fake-extension	7	1.0000	1.0000	1.0000	1.0000	2.43	0.005	0.010	0.0000	0.000	baseline	local-fake-extension benchmark run
146c5a0	real-chrome-extension-agent	7	1.0000	1.0000	1.0000	1.0000	0.00	0.025	25.892	0.0000	0.291	keep	readiness debug command validation
af549c5	real-chrome-extension-agent	7	1.0000	1.0000	1.0000	1.0000	0.00	0.034	23.509	0.0000	0.001	baseline	real-chrome-extension-agent benchmark run
6b90c1c	real-chrome-extension-agent	7	1.0000	1.0000	1.0000	1.0000	2.43	0.035	17.894	0.0000	1.084	baseline	real-chrome-extension-agent benchmark run
fa86e6b	real-chrome-extension-agent	7	1.0000	1.0000	1.0000	1.0000	2.43	0.023	20.885	0.0000	0.018	baseline	real-chrome-extension-agent benchmark run
5c1b693	local-fake-extension	7	1.0000	1.0000	1.0000	1.0000	2.43	0.005	0.010	0.0000	0.000	baseline	local-fake-extension benchmark run
5c1b693	local-fake-extension	7	1.0000	1.0000	1.0000	1.0000	2.43	0.005	0.008	0.0000	0.000	baseline	local-fake-extension benchmark run
e10d1d7	real-chrome-extension-agent	7	1.0000	1.0000	1.0000	1.0000	2.43	0.026	20.726	0.0000	0.577	baseline	real-chrome-extension-agent benchmark run
ebaf6f0	local-fake-extension	7	1.0000	1.0000	1.0000	1.0000	2.43	0.006	0.009	0.0000	0.000	keep	direct observed-action act path
c0b024b	local-fake-extension	8	1.0000	1.0000	1.0000	1.0000	2.25	0.005	0.010	0.0000	0.000	keep	benchmarked observed-action act contract
c0b024b	real-chrome-extension-smoke	5	0.8000	0.8000	1.0000	1.0000	2.00	0.010	0.061	0.0000	0.000	discard	real click activity matcher missed compact selector
c0b024b	real-chrome-extension-smoke	5	1.0000	1.0000	1.0000	1.0000	1.80	0.012	0.064	0.0000	0.000	keep	real smoke observed-action act contract
c0b024b	local-fake-extension	8	1.0000	1.0000	1.0000	1.0000	2.25	0.004	0.009	0.0000	0.000	keep	benchmarked observed-action act contract
c0875d3	local-fake-extension	8	1.0000	1.0000	1.0000	1.0000	2.25	0.004	0.010	0.0000	0.000	keep	schema-validated extract retry
5d587a2	local-fake-extension	9	1.0000	1.0000	1.0000	1.0000	2.00	0.006	0.010	0.0000	0.000	keep	multi-action act rejection contract
5d587a2	real-chrome-extension-smoke	6	1.0000	1.0000	1.0000	1.0000	1.50	0.008	0.066	0.0000	0.000	keep	real smoke multi-action act rejection
31a7cce	local-fake-extension	10	1.0000	1.0000	1.0000	1.0000	2.10	0.004	0.010	0.0000	0.000	keep	selector-scoped extract contract
31a7cce	real-chrome-extension-smoke	6	1.0000	1.0000	1.0000	1.0000	1.50	0.008	0.146	0.0000	0.000	keep	real smoke after scoped extract contract
31a7cce	local-fake-extension	10	1.0000	1.0000	1.0000	1.0000	2.10	0.005	0.009	0.0000	0.000	keep	final local scoped extract artifacts
2bccaa8	local-fake-extension	10	1.0000	1.0000	1.0000	1.0000	2.10	0.005	0.010	0.0000	0.000	keep	observed-act paired trace prep
2bccaa8	local-fake-extension	10	1.0000	1.0000	1.0000	1.0000	2.10	0.005	0.010	0.0000	0.000	keep	observed-act paired trace rerun
2bccaa8	real-chrome-extension-smoke	6	1.0000	1.0000	1.0000	1.0000	1.50	0.010	0.120	0.0000	0.000	keep	real smoke observed-act paired traces
2bccaa8	local-fake-extension	10	1.0000	1.0000	1.0000	1.0000	2.10	0.005	0.011	0.0000	0.000	keep	final observed-act paired artifacts
f6a1373	local-fake-extension	11	1.0000	1.0000	1.0000	1.0000	2.18	0.005	0.014	0.0000	0.000	keep	selector recovery local prep
f6a1373	local-fake-extension	11	1.0000	1.0000	1.0000	1.0000	2.09	0.005	0.012	0.0000	0.000	keep	selector recovery local benchmark
f6a1373	local-fake-extension	11	1.0000	1.0000	1.0000	1.0000	2.09	0.005	0.014	0.0000	0.000	keep	selector recovery trace prep
f6a1373	real-chrome-extension-smoke	7	1.0000	1.0000	1.0000	1.0000	1.71	0.010	0.151	0.0000	0.000	keep	real smoke selector recovery
f6a1373	local-fake-extension	11	1.0000	1.0000	1.0000	1.0000	2.09	0.005	0.014	0.0000	0.000	keep	final selector recovery artifacts
8d89baf	local-fake-extension	12	1.0000	1.0000	1.0000	1.0000	2.17	0.005	0.012	0.0000	0.000	keep	type selector recovery local benchmark
8d89baf	real-chrome-extension-smoke	8	1.0000	1.0000	1.0000	1.0000	1.88	0.010	0.134	0.0000	0.000	keep	real smoke type selector recovery
8d89baf	local-fake-extension	12	1.0000	1.0000	1.0000	1.0000	2.17	0.006	0.012	0.0000	0.000	keep	final type selector recovery artifacts
a4636af	local-fake-extension	13	1.0000	1.0000	1.0000	1.0000	2.23	0.006	0.011	0.0000	0.000	keep	page brief controls local benchmark
a4636af	real-chrome-extension-smoke	9	1.0000	1.0000	1.0000	1.0000	2.00	0.011	0.128	0.0000	0.000	keep	real smoke page brief controls
a4636af	local-fake-extension	13	1.0000	1.0000	1.0000	1.0000	2.23	0.005	0.010	0.0000	0.000	keep	final page brief controls artifacts
3e7d549	local-fake-extension	14	1.0000	1.0000	1.0000	1.0000	2.14	0.005	0.010	0.0000	0.000	keep	stop contract local benchmark
3e7d549	real-chrome-extension-smoke	10	1.0000	1.0000	1.0000	1.0000	1.80	0.011	0.120	0.0000	0.000	keep	real smoke stop contract
3e7d549	local-fake-extension	14	1.0000	1.0000	1.0000	1.0000	2.14	0.006	0.014	0.0000	0.000	keep	final stop contract artifacts
ece5367	local-fake-extension	15	1.0000	1.0000	1.0000	1.0000	2.07	0.005	0.013	0.0000	0.000	keep	select option local benchmark
ece5367	real-chrome-extension-smoke	11	1.0000	1.0000	1.0000	1.0000	1.73	0.010	0.176	0.0000	0.000	keep	real smoke select option
ece5367	local-fake-extension	15	1.0000	1.0000	1.0000	1.0000	2.07	0.005	0.011	0.0000	0.000	keep	final select option artifacts
ac71617	local-fake-extension	16	1.0000	1.0000	1.0000	1.0000	2.00	0.004	0.011	0.0000	0.000	keep	scoped read local benchmark
ac71617	real-chrome-extension-smoke	12	1.0000	1.0000	1.0000	1.0000	1.67	0.008	0.066	0.0000	0.000	keep	real smoke scoped read
ac71617	local-fake-extension	16	1.0000	1.0000	1.0000	1.0000	2.00	0.004	0.010	0.0000	0.000	keep	final scoped read artifacts
d8b1acb	local-fake-extension	17	0.9412	0.9412	1.0000	1.0000	2.00	0.005	0.010	0.0000	0.000	discard	scroll evaluator draft bug
d8b1acb	local-fake-extension	17	1.0000	1.0000	1.0000	1.0000	1.94	0.004	0.011	0.0000	0.000	keep	scroll contract local benchmark
d8b1acb	real-chrome-extension-smoke	13	1.0000	1.0000	1.0000	1.0000	1.62	0.008	0.035	0.0000	0.000	keep	real smoke scroll contract
d8b1acb	local-fake-extension	17	1.0000	1.0000	1.0000	1.0000	1.94	0.004	0.010	0.0000	0.000	keep	final scroll contract artifacts
32d8f90	local-fake-extension	18	1.0000	1.0000	1.0000	1.0000	1.83	0.004	0.010	0.0000	0.000	keep	tabs contract local benchmark
32d8f90	real-chrome-extension-smoke	14	1.0000	1.0000	1.0000	1.0000	1.50	0.009	0.103	0.0000	0.000	keep	real smoke tabs contract
32d8f90	local-fake-extension	18	1.0000	1.0000	1.0000	1.0000	1.83	0.005	0.011	0.0000	0.000	keep	final tabs contract artifacts
7949cb4	local-fake-extension	19	0.9474	0.9474	1.0000	1.0000	1.83	0.004	0.012	0.0000	0.000	discard	rank metadata label draft
7949cb4	local-fake-extension	19	1.0000	1.0000	1.0000	1.0000	1.74	0.005	0.013	0.0000	0.000	keep	rank actions local benchmark
7949cb4	real-chrome-extension-smoke	15	1.0000	1.0000	1.0000	1.0000	1.40	0.008	0.107	0.0000	0.000	keep	real smoke rank actions
7949cb4	local-fake-extension	19	1.0000	1.0000	1.0000	1.0000	1.74	0.005	0.011	0.0000	0.000	keep	final rank actions artifacts
